strain	genbank_accession	date	country	host	completeness	length	Nextstrain_clade_usher	Lineage
CHN/230047/2023|C_AA008711.1|2023-01-25		2023/1/25	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23005/2022|C_AA009039.1|2022-12-30		2022/12/30	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/23005/2023|C_AA008673.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23005/2023|C_AA008927.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230051/2023|C_AA008714.1|2023-02-11		2023/2/11	China	Homo sapiens	Complete	29750	22B (Omicron)	BA.5.2.48
CHN/230058/2023|C_AA008719.1|2023-02-19		2023/2/19	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/230059/2023|C_AA008720.1|2023-02-13		2023/2/13	China	Homo sapiens	Complete	29702	22B (Omicron)	BA.5.2.48
CHN/23006/2023|C_AA008674.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23006/2023|C_AA008928.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23007/2023|C_AA008929.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230079/2023|C_AA009057.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29766	22B (Omicron)	BA.5.2.48
CHN/23008/2023|C_AA008930.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230086/2022|C_AA005088.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23009/2023|C_AA008931.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23010/2023|C_AA008932.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23011/2023|C_AA008933.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23012/2023|C_AA008934.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230125/2022|C_AA008727.1|2022-12-27		2022/12/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23013/2023|C_AA008935.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/230138/2023|C_AA009007.1|2023-01-18		2023/1/18	China	Homo sapiens	Complete	29628	22B (Omicron)	BA.5.2.48
CHN/23014/2023|C_AA008936.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230141/2023|C_AA009010.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/230147/2023|C_AA005034.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29702	22B (Omicron)	BA.5.2.48
CHN/230149/2023|C_AA005035.1|2023-03-26		2023/3/26	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23015/2023|C_AA008937.1|2023-02-22		2023/2/22	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230157/2022|C_AA009069.1|2022-12-25		2022/12/25	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23016/2023|C_AA008938.1|2023-02-22		2023/2/22	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230164/2023|C_AA005103.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29741	22B (Omicron)	BA.5.2.48
CHN/23021/2023|C_AA008943.1|2023-02-13		2023/2/13	China	Homo sapiens	Complete	29784	22B (Omicron)	BA.5.2.48
CHN/23022/2023|C_AA008944.1|2023-02-13		2023/2/13	China	Homo sapiens	Complete	29771	22B (Omicron)	BA.5.2.48
CHN/23023/2023|C_AA008945.1|2023-02-13		2023/2/13	China	Homo sapiens	Complete	29758	22B (Omicron)	BA.5.2.48
CHN/23024/2023|C_AA008946.1|2023-02-11		2023/2/11	China	Homo sapiens	Complete	29772	22B (Omicron)	BA.5.2.48
CHN/230247/2023|C_AA008887.1|2023-02-16		2023/2/16	China	Homo sapiens	Complete	29566	22B (Omicron)	BA.5.2.48
CHN/23025/2023|C_AA005068.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23025/2023|C_AA008939.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29783	22B (Omicron)	BA.5.2.48
CHN/23025/2023|C_AA008947.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29628	22B (Omicron)	BA.5.2.48
CHN/23025/2023|C_AA009042.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230250/2023|C_AA008889.1|2023-02-13		2023/2/13	China	Homo sapiens	Complete	29580	22B (Omicron)	BA.5.2.48
CHN/23026/2023|C_AA005069.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29745	22B (Omicron)	BA.5.2.48
CHN/23026/2023|C_AA008940.1|2023-03-02		2023/3/2	China	Homo sapiens	Complete	29870	22B (Omicron)	BA.5.2.48
CHN/23026/2023|C_AA008948.1|2023-02-17		2023/2/17	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/23027/2023|C_AA008941.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29782	22B (Omicron)	BA.5.2.48
CHN/23028/2023|C_AA009044.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23029/2023|C_AA005071.1|2023-03-11		2023/3/11	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/230294/2023|C_AA008897.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29629	22B (Omicron)	BA.5.2.48
CHN/230299/2023|C_AA008900.1|2023-02-20		2023/2/20	China	Homo sapiens	Complete	29781	22B (Omicron)	BA.5.2.48
CHN/2303019/2023|C_AA005053.1|2023-03-14		2023/3/14	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/2303022/2023|C_AA005056.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/2303024/2023|C_AA005058.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/2303025/2023|C_AA005059.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/2303026/2023|C_AA005060.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/2303029/2023|C_AA005063.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/2303030/2023|C_AA005064.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/2303031/2023|C_AA005065.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23031/2023|C_AA005073.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23031/2023|C_AA009047.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/23032/2023|C_AA009083.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29757	22B (Omicron)	BA.5.2.48
CHN/230327-1/2023|C_AA005026.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29759	22B (Omicron)	BA.5.2.48
CHN/230327/2023|C_AA008870.1|2023-03-01		2023/3/1	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/230328/2023|C_AA008871.1|2023-03-02		2023/3/2	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/23033/2023|C_AA008952.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/23035/2023|C_AA005018.1|2023-03-24		2023/3/24	China	Homo sapiens	Complete	29819	22B (Omicron)	BA.5.2.48
CHN/23035/2023|C_AA008954.1|2023-02-23		2023/2/23	China	Homo sapiens	Complete	29610	22B (Omicron)	BA.5.2.48
CHN/230353/2023|C_AA008879.1|2023-02-25		2023/2/25	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/230354/2023|C_AA008880.1|2023-02-25		2023/2/25	China	Homo sapiens	Complete	29683	22B (Omicron)	BA.5.2.48
CHN/230366/2023|C_AA008882.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29806	22B (Omicron)	BA.5.2.48
CHN/230378/2023|C_AA008903.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29774	22B (Omicron)	BA.5.2.48
CHN/23040/2023|C_AA008957.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/230407/2023|C_AA008909.1|2023-02-10		2023/2/10	China	Homo sapiens	Complete	29780	22B (Omicron)	BA.5.2.48
CHN/230409/2023|C_AA003338.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/230409/2023|C_AA008910.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/230417/2023|C_AA008912.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/230433/2023|C_AA005038.1|2023-02-10		2023/2/10	China	Homo sapiens	Complete	29812	22B (Omicron)	BA.5.2.48
CHN/23046/2023|C_AA008959.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29675	22B (Omicron)	BA.5.2.48
CHN/23050/2023|C_AA005075.1|2023-03-11		2023/3/11	China	Homo sapiens	Complete	29683	22B (Omicron)	BA.5.2.48
CHN/23050/2023|C_AA009076.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/230508/2023|C_AA005016.1|2023-03-23		2023/3/23	China	Homo sapiens	Complete	29804	22B (Omicron)	BA.5.2.48
CHN/23051/2023|C_AA009077.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/23052/2023|C_AA009078.1|2023-01-09		2023/1/9	China	Homo sapiens	Complete	29727	22B (Omicron)	BA.5.2.48
CHN/23078/2023|C_AA008604.1|2023-02-04		2023/2/4	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23093/2023|C_AA008629.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23094/2023|C_AA008630.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29711	22B (Omicron)	BA.5.2.48
CHN/23097/2023|C_AA008633.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29765	22B (Omicron)	BA.5.2.48
CHN/23100/2023|C_AA008636.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29765	22B (Omicron)	BA.5.2.48
CHN/23101/2023|C_AA008637.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29765	22B (Omicron)	BA.5.2.48
CHN/23102/2023|C_AA008638.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23105-1/2023|C_AA008608.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23105-2/2023|C_AA008609.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29726	22B (Omicron)	BA.5.2.48
CHN/23105-4/2023|C_AA008611.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29745	22B (Omicron)	BA.5.2.48
CHN/23105-6/2023|C_AA008613.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23106/2023|C_AA008642.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/23107/2023|C_AA008643.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23112/2023|C_AA008654.1|2023		2023	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/23113/2023|C_AA008655.1|2023		2023	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/231199/2023|C_AA008918.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/23122/2023|C_AA008664.1|2023		2023	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/23129/2023|C_AA008648.1|2023-02-08		2023/2/8	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/23133/2023|C_AA008650.1|2023-02-09		2023/2/9	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23134/2023|C_AA008667.1|2023		2023	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/23136/2023|C_AA008884.1|2023-01-06		2023/1/6	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/23138/2023|C_AA008669.1|2023		2023	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/23141/2023|C_AA008671.1|2023		2023	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/4301/2022|C_AA008992.1|2022-11-24		2022/11/24	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/4306/2022|C_AA008994.1|2022-11-24		2022/11/24	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/4316/2022|C_AA008997.1|2022-11-24		2022/11/24	China	Homo sapiens	Complete	29629	22B (Omicron)	BA.5.2.48
CHN/4343/2022|C_AA009001.1|2022-11-26		2022/11/26	China	Homo sapiens	Complete	29686	22B (Omicron)	BA.5.2.48
CHN/4412/2022|C_AA008973.1|2022-12-02		2022/12/2	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/4530/2022|C_AA008977.1|2022-12-09		2022/12/9	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/4543/2022|C_AA009011.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29677	22B (Omicron)	BA.5.2.48
CHN/4544/2022|C_AA009012.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29676	22B (Omicron)	BA.5.2.48
CHN/4545/2022|C_AA009013.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/4551/2022|C_AA009017.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/4552/2022|C_AA009018.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29670	22B (Omicron)	BA.5.2.48
CHN/4553/2022|C_AA009019.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/4569/2022|C_AA009027.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/4570/2022|C_AA009028.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/4572/2022|C_AA009030.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/4573/2022|C_AA009031.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29679	22B (Omicron)	BA.5.2.48
CHN/4610/2022|C_AA009005.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/4612/2022|C_AA009006.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/4620/2022|C_AA008978.1|2022-12-21		2022/12/21	China	Homo sapiens	Complete	29628	22B (Omicron)	BA.5.2.48
CHN/4621/2022|C_AA008979.1|2022-12-21		2022/12/21	China	Homo sapiens	Complete	29678	22B (Omicron)	BA.5.2.48
CHN/4622/2022|C_AA008980.1|2022-12-23		2022/12/23	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/4630/2022|C_AA008983.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29677	22B (Omicron)	BA.5.2.48
CHN/4633/2022|C_AA008985.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/4635/2022|C_AA008987.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/4636/2022|C_AA008988.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29679	22B (Omicron)	BA.5.2.48
CHN/4643/2022|C_AA008991.1|2022-12-30		2022/12/30	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/4647/2023|C_AA009021.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/4653/2023|C_AA009022.1|2023-01-03		2023/1/3	China	Homo sapiens	Complete	29629	22B (Omicron)	BA.5.2.48
CHN/4664/2023|C_AA009024.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/BD-VIR-SPE-0009/2023|C_AA005105.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29742	22B (Omicron)	BA.5.2.48
CHN/BD-VIR-SPE-0010/2023|C_AA005106.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29744	22B (Omicron)	BA.5.2.48
CHN/BD-VIR-SPE-0011/2023|C_AA005107.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29742	22B (Omicron)	BA.5.2.48
CHN/BJCDC-0709/2023|C_AA008117.1|2023-02-28		2023/2/28	China	Homo sapiens	Partial	29567	22B (Omicron)	BA.5.2.48
CHN/BTCDC108/2023|C_AA002469.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/BTCDC115/2023|C_AA002473.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29839	22B (Omicron)	BA.5.2.48
CHN/BTCDC116/2023|C_AA002474.1|2023-03-14		2023/3/14	China	Homo sapiens	Complete	29840	22B (Omicron)	BA.5.2.48
CHN/BTCDC117/2023|C_AA002475.1|2023-03-14		2023/3/14	China	Homo sapiens	Complete	29840	22B (Omicron)	BA.5.2.48
CHN/BTCDC118/2023|C_AA002476.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29843	22B (Omicron)	BA.5.2.48
CHN/BTCDC119/2023|C_AA011015.1|2023-03-21		2023/3/21	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/BTCDC120/2023|C_AA011016.1|2023-03-21		2023/3/21	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/BTCDC125/2023|C_AA011021.1|2023-03-24		2023/3/24	China	Homo sapiens	Complete	29628	22B (Omicron)	BA.5.2.48
CHN/BTCDC126/2023|C_AA011022.1|2023-03-24		2023/3/24	China	Homo sapiens	Complete	29627	22B (Omicron)	BA.5.2.48
CHN/BTCDC143/2023|C_AA011039.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/CD-131/2023|C_AA006303.1|2023-03-14		2023/3/14	China	Homo sapiens	Complete	29790	22B (Omicron)	BA.5.2.48
CHN/CD-139/2023|C_AA006309.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29793	22B (Omicron)	BA.5.2.48
CHN/CD-153/2023|C_AA006312.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29628	22B (Omicron)	BA.5.2.48
CHN/CDCDC-2023-19-CX687/2023|C_AA013771.1|2023-04-22		2023/4/22	China	Homo sapiens	Complete	29610	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1377/2023|C_AA007877.1|2023-03-05		2023/3/5	China	Homo sapiens	Complete	29866	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1378/2023|C_AA007878.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29815	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1383/2023|C_AA007883.1|2023-01-20		2023/1/20	China	Homo sapiens	Complete	29815	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1384/2023|C_AA007884.1|2023-01-20		2023/1/20	China	Homo sapiens	Complete	29817	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1390/2023|C_AA007889.1|2023-03-04		2023/3/4	China	Homo sapiens	Complete	29860	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1398/2023|C_AA007897.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29816	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1400/2023|C_AA007899.1|2023-03-01		2023/3/1	China	Homo sapiens	Complete	29815	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1403/2023|C_AA007902.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29818	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1404/2023|C_AA007903.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29863	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1405/2023|C_AA007904.1|2023-03-04		2023/3/4	China	Homo sapiens	Complete	29815	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1408/2023|C_AA007907.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29815	22B (Omicron)	BA.5.2.48
CHN/CQ-CQCDC-1409/2023|C_AA007908.1|2023-03-02		2023/3/2	China	Homo sapiens	Complete	29815	22B (Omicron)	BA.5.2.48
CHN/CX2023022/2023|C_AA009185.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/CZCDC080/2023|C_AA013966.1|2023-04-13		2023/4/13	China	Homo sapiens	Complete	29866	22B (Omicron)	BA.5.2.48
